global_step,epoch,step_in_epoch,sample_idx,loss,running_mean_loss,lr
66,1,16,290,99.71922302246094,99.70758056640625,0.0010000000474974513
67,1,17,297,99.6938247680664,99.70691680908203,0.0010000000474974513
68,1,18,273,99.65771484375,99.70539855957031,0.0010000000474974513
69,1,19,263,99.63213348388672,99.70093536376953,0.0010000000474974513
70,1,20,224,99.65068817138672,99.69911193847656,0.0010000000474974513
71,1,21,190,99.63003540039062,99.69527435302734,0.0010000000474974513
72,1,22,43,99.48884582519531,99.6820068359375,0.0010000000474974513
73,1,23,174,99.65943908691406,99.68101501464844,0.0010000000474974513
74,1,24,68,99.65931701660156,99.67971801757812,0.0010000000474974513
75,1,25,355,99.6091537475586,99.67818450927734,0.0010000000474974513
76,1,26,24,99.61196899414062,99.67491912841797,0.0010000000474974513
77,1,27,357,99.61186981201172,99.67230224609375,0.0010000000474974513
78,1,28,213,99.57103729248047,99.66825103759766,0.0010000000474974513
79,1,29,117,99.5051498413086,99.66199493408203,0.0010000000474974513
80,1,30,240,99.59523010253906,99.66021728515625,0.0010000000474974513
81,1,31,182,99.59559631347656,99.6572036743164,0.0010000000474974513
82,1,32,69,99.60808563232422,99.65497589111328,0.0010000000474974513
83,1,33,251,99.37564086914062,99.65096282958984,0.0010000000474974513
84,1,34,53,99.54450988769531,99.64793395996094,0.0010000000474974513
85,1,35,282,99.51265716552734,99.64586639404297,0.0010000000474974513
86,1,36,134,99.44940185546875,99.63780212402344,0.0010000000474974513
87,1,37,115,99.52920532226562,99.63463592529297,0.0010000000474974513
88,1,38,19,99.53645324707031,99.63225555419922,0.0010000000474974513
89,1,39,8,98.59728240966797,99.61808776855469,0.0010000000474974513
90,1,40,351,99.2524642944336,99.61073303222656,0.0010000000474974513
91,1,41,362,99.456787109375,99.60651397705078,0.0010000000474974513
92,1,42,205,99.11499786376953,99.60018157958984,0.0010000000474974513
